Date,IMA35Med,IMA60Med,IMA85Med,IMAfMed,IMA35Avg,IMA60Avg,IMA85Avg,IMAfAvg
19-Mar-14,0.141,0.22,0.309,0.293,0.114,0.208,0.293,0.252
18-Mar-14,0.099,0.207,0.344,0.325,0.122,0.209,0.337,0.295
17-Mar-14,0,-0.153,0.03,0,-0.038,-0.139,-0.127,-0.131
14-Mar-14,-0.091,-0.252,-0.517,-0.575,-0.117,-0.292,-0.544,-0.605
13-Mar-14,-0.117,-0.245,-0.337,-0.375,-0.12,-0.22,-0.358,-0.365
12-Mar-14,-0.07,-0.168,-0.275,-0.281,-0.075,-0.182,-0.289,-0.333
11-Mar-14,-0.101,-0.161,-0.222,-0.165,-0.122,-0.167,-0.221,-0.163
10-Mar-14,-0.018,-0.039,-0.079,0,-0.05,-0.065,-0.111,-0.02
7-Mar-14,0,0.061,0.072,0.098,0.015,0.061,0.083,0.139
6-Mar-14,0.074,0.139,0.207,0.272,0.064,0.121,0.197,0.253
5-Mar-14,0.14,0.218,0.252,0.31,0.09,0.253,0.335,0.392
4-Mar-14,0.21,0,0.325,0.071,0.142,0.057,0.214,0.129
3-Mar-14,-0.179,-0.096,-0.546,-0.37,-0.145,-0.173,-0.435,-0.459
28-Feb-14,0.088,0.078,0.232,0.205,0.093,0.092,0.179,0.245
27-Feb-14,0.037,-0.005,-0.116,-0.073,0.014,-0.04,-0.137,-0.079
26-Feb-14,0.088,0.064,0.04,0.029,0.075,0.075,0.04,0.064
25-Feb-14,0.05,0.079,0.082,0.115,0.047,0.066,0.093,0.117
24-Feb-14,0.16,0.217,0.247,0.277,0.143,0.213,0.259,0.285
21-Feb-14,0.092,0.088,0.292,0.233,0.05,0.096,0.207,0.213
20-Feb-14,-0.059,0.025,-0.068,-0.038,-0.037,-0.01,-0.057,-0.095
19-Feb-14,0.176,0.203,0.268,0.241,0.182,0.208,0.293,0.206
18-Feb-14,0.184,0.206,0.276,0.25,0.173,0.221,0.283,0.273
17-Feb-14,0.144,0.224,0.329,0.247,0.155,0.226,0.322,0.256
14-Feb-14,0.088,0.018,0.16,0.033,0.042,0.016,0.069,0.117
13-Feb-14,-0.092,-0.046,-0.208,-0.07,-0.111,-0.098,-0.203,-0.225
12-Feb-14,0.042,0.185,0.32,0.316,0.019,0.178,0.31,0.367
11-Feb-14,0.171,0.242,0.384,0.351,0.147,0.262,0.359,0.351
10-Feb-14,0.163,0.295,0.381,0.413,0.177,0.285,0.377,0.409
7-Feb-14,0.177,0.318,0.535,0.52,0.159,0.314,0.517,0.524
6-Feb-14,0.085,0.22,0.316,0.344,0.07,0.209,0.344,0.354
5-Feb-14,0.141,-0.084,0.089,0,0.083,-0.074,-0.034,-0.12
4-Feb-14,-0.197,-0.297,-0.671,-0.496,-0.173,-0.292,-0.558,-0.59
3-Feb-14,0.092,0.087,0.165,0.079,0.101,0.103,0.18,0.146
31-Jan-14,-0.075,-0.176,-0.186,-0.283,-0.069,-0.175,-0.215,-0.255
30-Jan-14,0.058,-0.009,-0.244,-0.08,0.008,-0.039,-0.24,-0.249
29-Jan-14,0.106,0.125,0.25,0.155,0.063,0.101,0.224,0.121
28-Jan-14,-0.098,-0.299,-0.158,-0.177,-0.186,-0.321,-0.374,-0.502
27-Jan-14,-0.508,-0.727,-1.179,-1.217,-0.481,-0.749,-1.143,-1.163
