Date,IMAmix35,IMAmix60,IMAmix85,IMAflex
28-Feb-14,0.088,0.078,0.232,0.205
27-Feb-14,0.037,-0.005,-0.116,-0.073
26-Feb-14,0.088,0.064,0.040,0.029
25-Feb-14,0.050,0.079,0.082,0.115
24-Feb-14,0.160,0.217,0.247,0.277
21-Feb-14,0.092,0.088,0.292,0.233
20-Feb-14,-0.059,0.025,-0.068,-0.038
19-Feb-14,0.176,0.203,0.268,0.241
18-Feb-14,0.184,0.206,0.276,0.250
17-Feb-14,0.144,0.224,0.329,0.247
14-Feb-14,0.088,0.018,0.160,0.033
13-Feb-14,-0.092,-0.046,-0.208,-0.070
12-Feb-14,0.042,0.185,0.320,0.316
11-Feb-14,0.171,0.242,0.384,0.351
10-Feb-14,0.163,0.295,0.381,0.413
07-Feb-14,0.177,0.318,0.535,0.520
06-Feb-14,0.085,0.220,0.316,0.344
05-Feb-14,0.141,-0.084,0.089,0.000
04-Feb-14,-0.197,-0.297,-0.671,-0.496
03-Feb-14,0.092,0.087,0.165,0.079
31-Jan-14,-0.075,-0.176,-0.186,-0.283
30-Jan-14,0.058,-0.009,-0.244,-0.080
29-Jan-14,0.106,0.125,0.250,0.155
28-Jan-14,-0.098,-0.299,-0.158,-0.177
27-Jan-14,-0.508,-0.727,-1.179,-1.217
24-Jan-14,-0.157,-0.349,-0.738,-0.696
23-Jan-14,-0.091,-0.151,-0.210,-0.218
22-Jan-14,-0.152,-0.137,-0.209,-0.199
21-Jan-14,-0.020,-0.013,0.000,0.000
20-Jan-14,0.000,-0.039,-0.097,-0.143
17-Jan-14,0.000,0.048,-0.032,-0.020
16-Jan-14,0.211,0.303,0.431,0.484
15-Jan-14,0.104,0.119,0.360,0.312
14-Jan-14,0.069,0.066,-0.026,-0.043
13-Jan-14,0.185,0.188,0.190,0.159
10-Jan-14,0.165,0.096,0.137,0.110
09-Jan-14,-0.026,-0.007,0.000,0.000
08-Jan-14,0.000,0.009,0.013,0.000
07-Jan-14,0.131,0.109,0.076,0.000
06-Jan-14,0.152,0.153,0.162,0.130
03-Jan-14,0.059,-0.019,0.000,-0.077
02-Jan-14,-0.025,0.000,-0.013,0.000
01-Jan-14,0.000,0.000,0.000,0.000
31-Dec-13,0.066,0.073,0.083,0.075
30-Dec-13,0.070,0.145,0.144,0.170
27-Dec-13,0.017,0.136,0.213,0.183
26-Dec-13,0.000,0.000,0.000,0.000
25-Dec-13,0.000,0.000,0.000,0.000
24-Dec-13,0.165,0.250,0.395,0.354
23-Dec-13,0.180,0.210,0.371,0.357
20-Dec-13,0.089,0.242,0.282,0.292
19-Dec-13,0.067,0.119,0.398,0.275
18-Dec-13,0.000,0.063,0.000,0.000
17-Dec-13,0.162,0.169,0.298,0.215
16-Dec-13,0.096,0.055,0.069,0.026
13-Dec-13,-0.008,-0.114,0.000,-0.011
12-Dec-13,-0.306,-0.273,-0.563,-0.400
11-Dec-13,0.081,0.079,0.006,0.000
10-Dec-13,0.096,0.159,0.194,0.173
09-Dec-13,0.086,0.139,0.219,0.210
06-Dec-13,-0.029,-0.041,0.000,-0.020
05-Dec-13,-0.073,-0.111,-0.143,-0.139
04-Dec-13,-0.111,-0.224,-0.312,-0.279
03-Dec-13,-0.255,-0.333,-0.497,-0.457
02-Dec-13,-0.228,-0.135,-0.265,-0.143
29-Nov-13,0.074,0.097,0.137,0.118
28-Nov-13,0.000,-0.011,0.000,0.000
27-Nov-13,-0.089,-0.097,-0.142,-0.160
26-Nov-13,0.042,0.102,0.047,0.000
25-Nov-13,0.183,0.138,0.276,0.226
22-Nov-13,-0.037,-0.065,-0.054,-0.018
21-Nov-13,-0.182,-0.192,-0.198,-0.209
20-Nov-13,-0.177,-0.203,-0.294,-0.285
19-Nov-13,0.042,0.051,-0.039,0.000
18-Nov-13,0.131,0.187,0.302,0.340
15-Nov-13,0.128,0.197,0.276,0.293
14-Nov-13,0.008,-0.095,0.016,0.000
13-Nov-13,-0.194,-0.174,-0.392,-0.216
12-Nov-13,0.095,0.197,0.280,0.320
11-Nov-13,-0.039,-0.039,0.205,0.020
08-Nov-13,-0.143,-0.169,-0.443,-0.367
07-Nov-13,0.000,0.000,-0.033,0.000
06-Nov-13,-0.093,-0.138,-0.040,-0.041
05-Nov-13,-0.252,-0.148,-0.293,-0.192
04-Nov-13,0.000,-0.044,0.025,0.000
01-Nov-13,-0.150,-0.156,-0.202,-0.151
31-Oct-13,-0.033,-0.041,-0.203,-0.208
30-Oct-13,0.223,0.276,0.454,0.443
29-Oct-13,0.191,0.214,0.270,0.303
28-Oct-13,0.075,0.039,0.069,0.056
25-Oct-13,-0.019,0.000,-0.017,-0.033
24-Oct-13,0.093,0.082,0.071,0.000
23-Oct-13,0.266,0.193,0.212,0.142
22-Oct-13,0.132,0.239,0.268,0.320
21-Oct-13,0.178,0.257,0.408,0.359
18-Oct-13,0.292,0.368,0.335,0.274
17-Oct-13,0.354,0.172,0.438,0.243
16-Oct-13,-0.132,0.009,-0.235,0.000
15-Oct-13,0.176,0.239,0.436,0.393
14-Oct-13,0.150,0.296,0.321,0.277
11-Oct-13,0.237,0.378,0.680,0.722
10-Oct-13,0.094,0.116,0.322,0.183
09-Oct-13,0.035,-0.013,-0.109,-0.086
08-Oct-13,-0.031,-0.144,-0.150,-0.145
07-Oct-13,-0.075,-0.100,-0.218,-0.138
04-Oct-13,0.123,0.155,0.205,0.191
03-Oct-13,0.066,0.070,0.098,0.102
02-Oct-13,0.000,0.000,0.000,0.000
01-Oct-13,-0.107,-0.255,-0.213,-0.237
30-Sep-13,-0.180,-0.276,-0.519,-0.612
27-Sep-13,-0.060,-0.067,-0.096,-0.091
26-Sep-13,0.045,-0.009,-0.061,-0.040
25-Sep-13,0.051,-0.052,-0.113,-0.156
24-Sep-13,0.061,-0.105,-0.120,-0.147
23-Sep-13,-0.179,-0.235,-0.364,-0.313
20-Sep-13,0.024,0.184,0.000,0.046
19-Sep-13,0.529,0.366,0.548,0.517
18-Sep-13,-0.090,-0.113,-0.114,-0.019
17-Sep-13,0.089,0.139,0.000,0.087
16-Sep-13,0.179,0.125,0.240,0.172
13-Sep-13,0.000,-0.039,-0.097,-0.154
12-Sep-13,0.077,0.069,0.000,0.000
11-Sep-13,0.075,0.198,0.251,0.212
10-Sep-13,0.182,0.250,0.585,0.556
09-Sep-13,0.000,0.058,0.077,0.101
06-Sep-13,0.022,0.153,0.198,0.214
05-Sep-13,0.000,0.027,0.299,0.223
04-Sep-13,-0.181,-0.105,-0.162,-0.047
03-Sep-13,0.036,0.093,0.156,0.118
02-Sep-13,0.000,0.017,0.070,0.027
30-Aug-13,0.000,0.055,0.038,0.065
29-Aug-13,0.000,-0.170,-0.017,-0.070
28-Aug-13,-0.105,-0.186,-0.471,-0.412
27-Aug-13,0.233,0.243,0.150,0.099
26-Aug-13,0.000,0.000,0.000,0.000
23-Aug-13,0.098,0.176,0.284,0.220
