"","Date","Mid.SKSPEC3","Mid.SKSPEC4","Mid.SKSPEC5","Mid.SKSPEC6","Mid.SKSPEC7","Mid.SKSPEC8"
"889",2012-11-27,0.59853,0.58774,0.57906,0.56035,0.54415,0.52492
"895",2012-11-28,0.59907,0.58797,0.579,0.56002,0.54356,0.52411
"901",2012-11-29,0.6007,0.59004,0.5815,0.56286,0.5467,0.52753
"907",2012-11-30,0.602,0.59163,0.58338,0.56497,0.549,0.53001
"913",2012-12-03,0.60228,0.59195,0.58366,0.56531,0.54929,0.53036
"919",2012-12-04,0.60154,0.59104,0.58272,0.56432,0.54824,0.52925
"925",2012-12-05,0.60207,0.59172,0.58355,0.56522,0.5493,0.53041
"931",2012-12-06,0.60305,0.59292,0.58491,0.56669,0.55088,0.53208
"937",2012-12-07,0.60425,0.5942,0.58627,0.5681,0.55234,0.53357
"943",2012-12-10,0.60461,0.59456,0.58662,0.56843,0.55266,0.53391
"949",2012-12-11,0.60449,0.59467,0.58698,0.56906,0.55349,0.53482
"955",2012-12-12,0.60479,0.59519,0.58771,0.56999,0.55459,0.53612
"961",2012-12-13,0.6056,0.59591,0.58836,0.57057,0.55511,0.53656
"967",2012-12-14,0.60595,0.59637,0.58893,0.57124,0.55584,0.53733
"973",2012-12-17,0.60534,0.59563,0.58788,0.57039,0.55448,0.53581
"979",2012-12-18,0.60605,0.59657,0.589,0.5718,0.55593,0.53741
"985",2012-12-19,0.60709,0.59809,0.59098,0.57414,0.55869,0.54029
"991",2012-12-20,0.60776,0.59892,0.59195,0.57527,0.55991,0.54165
"997",2012-12-21,0.60783,0.59863,0.59134,0.57427,0.55868,0.54018
"1003",2012-12-24,0.60801,0.59879,0.59144,0.57439,0.55875,0.54018
"1009",2012-12-27,0.60869,0.59964,0.59245,0.57556,0.56004,0.54159
"1015",2012-12-28,0.61012,0.60085,0.59345,0.57631,0.5606,0.542
"1021",2012-12-31,0.60993,0.60042,0.59279,0.57541,0.55961,0.54077
"1027",2013-01-02,0.61065,0.60207,0.59534,0.57889,0.5638,0.5455
"1033",2013-01-03,0.61277,0.6047,0.59851,0.5825,0.5678,0.54985
"1039",2013-01-04,0.61211,0.60476,0.59923,0.58387,0.56975,0.55229
"1045",2013-01-07,0.61359,0.60622,0.60067,0.5853,0.57113,0.55359
"1051",2013-01-08,0.61412,0.60652,0.60071,0.58512,0.57076,0.55299
"1057",2013-01-09,0.6151,0.60736,0.6014,0.58571,0.57121,0.55326
"1063",2013-01-10,0.61614,0.6087,0.60298,0.5876,0.57332,0.55551
"1069",2013-01-11,0.61647,0.60913,0.6035,0.5882,0.57398,0.55625
"1075",2013-01-14,0.61749,0.61034,0.60492,0.58979,0.5757,0.55807
"1081",2013-01-15,0.61806,0.61091,0.60552,0.59034,0.57626,0.55868
"1087",2013-01-16,0.61753,0.61013,0.60449,0.58908,0.57483,0.55706
"1093",2013-01-17,0.61743,0.61032,0.60491,0.58979,0.57574,0.55808
"1099",2013-01-18,0.61938,0.61287,0.60799,0.59345,0.57981,0.56246
"1105",2013-01-21,0.62119,0.61474,0.60993,0.5954,0.58188,0.56458
"1111",2013-01-22,0.62133,0.61502,0.61035,0.59595,0.58254,0.56533
"1117",2013-01-23,0.62162,0.61523,0.61044,0.59595,0.58245,0.56513
"1123",2013-01-24,0.62176,0.6155,0.61082,0.59651,0.58302,0.56571
"1129",2013-01-25,0.622,0.61645,0.61239,0.59877,0.58582,0.56894
"1135",2013-01-28,0.62262,0.61734,0.61355,0.60018,0.58744,0.57076
"1141",2013-01-29,0.62252,0.61712,0.61319,0.5997,0.58687,0.57012
"1147",2013-01-30,0.62186,0.61685,0.61327,0.60018,0.58766,0.57134
"1153",2013-01-31,0.62092,0.61573,0.61196,0.59863,0.58599,0.5696
"1159",2013-02-01,0.6209,0.61591,0.61232,0.59918,0.58668,0.57054
"1165",2013-02-04,0.62142,0.61691,0.61382,0.60116,0.58903,0.57317
"1171",2013-02-05,0.62077,0.61585,0.61229,0.59923,0.58678,0.57054
"1177",2013-02-06,0.62196,0.61746,0.6143,0.60166,0.5895,0.57352
"1183",2013-02-07,0.62144,0.6168,0.61342,0.60058,0.58832,0.57224
"1189",2013-02-08,0.62094,0.61605,0.6125,0.5994,0.58701,0.57081
"1195",2013-02-11,0.62084,0.61608,0.61264,0.59965,0.58739,0.57131
"1201",2013-02-12,0.62185,0.6173,0.61407,0.60128,0.58919,0.57321
"1207",2013-02-13,0.62269,0.61876,0.61616,0.60397,0.59239,0.57681
"1213",2013-02-14,0.62358,0.61971,0.61721,0.60506,0.59354,0.57797
"1219",2013-02-15,0.62444,0.62057,0.61808,0.60595,0.59443,0.57877
"1225",2013-02-18,0.62437,0.6204,0.6178,0.60557,0.59397,0.57821
"1232",2013-02-19,0.62493,0.62117,0.61879,0.60677,0.59531,0.57973
"1241",2013-02-20,0.62696,0.62401,0.62247,0.61123,0.60045,0.58552
"1252",2013-02-21,0.62618,0.62235,0.61993,0.60782,0.59634,0.58084
"1263",2013-02-22,0.62625,0.62231,0.61978,0.60761,0.59603,0.5803
"1274",2013-02-25,0.62817,0.62469,0.62265,0.61092,0.59974,0.58436
